id,team,name,jersey,position,hometown,height,weight,teamColor,teamColorSecondary,conference
4427238,Oregon,Dillon Gabriel,8,QB,"Mililani, HI",71,204,#007030,#fee11a,Big Ten
4432762,Colorado,Shedeur Sanders,2,QB,"Canton, TX",74,215,#CFB87C,#000000,Big 12
4430431,Indiana,Kurtis Rourke,9,QB,"Oakville, ON",77,222,#990000,#edebeb,Big Ten
4689114,Ole Miss,Jaxson Dart,2,QB,"Kaysville, UT",74,220,#13294b,#c8102e,SEC
4433971,Syracuse,Kyle McCord,6,QB,"Philadelphia, PA",75,220,#ff6500,#000e54,ACC
4915980,Washington State,John Mateer,10,QB,"Little Elm, TX",73,219,#981e32,#ffffff,Pac-12
4879928,Army,Bryson Daily,13,QB,"Abernathy, TX",72,221,#ce9c00,#231f20,American Athletic
4685413,Clemson,Cade Klubnik,2,QB,"Austin, TX",74,210,#f56600,#522d80,ACC
4429955,Ohio State,Will Howard,18,QB,"Downingtown, PA",76,237,#ce1141,#505056,Big Ten
5078810,Arizona State,Sam Leavitt,10,QB,"West Linn, OR",74,200,#8e0c3a,#ffc72c,Big 12
4714771,Penn State,Drew Allar,15,QB,"Medina, OH",77,238,#041E42,#FFFFFF,Big Ten
4875127,South Carolina,Lanorris Sellers,16,QB,"Florence, SC",75,242,#73000a,#ffffff,SEC
5084180,Vanderbilt,Diego Pavia,2,QB,"Albuquerque, NM",72,200,#866d4b,#000000,SEC
4683423,Notre Dame,Riley Leonard,13,QB,"Fairhope, AL",76,216,#0c2340,#c99700,FBS Independents
5081504,Navy,Blake Horvath,11,QB,"Hilliard, OH",74,195,#00225b,#b5a67c,American Athletic
4889929,Texas,Quinn Ewers,3,QB,"Southlake, TX",74,210,#c15d26,#ffffff,SEC
4428993,Georgia Tech,Haynes King,10,QB,"Longview, TX",75,215,#003057,#b3a369,ACC
4360689,Louisville,Tyler Shough,9,QB,"Chandler, AZ",77,225,#c9001f,#000000,ACC
4429435,Missouri,Brady Cook,12,QB,"Saint Louis, MO",74,205,#f1b82d,#000000,SEC
